code_1_20,names_1_20,long,lat
3623,ishigakijima,123.5,24.33335
3724,miyakojima,124.5,25
3823,otsurijima,123.5,25.66665
3926,kumejima,126.5,26.33335
3927,naha,127.5,26.33335
4027,yoronjima,127.5,27
4042,ogasawarashoto,142.5,27
4128,tokunoshima,128.5,27.66665
4229,amamioshima,129.5,28.33335
4329,takarajima,129.5,29
4429,nakanoshima,129.5,29.66665
4530,yakushima,130.5,30.33335
4629,kuroshima,129.5,31
4630,kaimondake,130.5,31
4729,koshikijima,129.5,31.66665
4730,kagoshima,130.5,31.66665
4731,miyazaki,131.5,31.66665
4828,tomie,128.5,32.33335
4829,nomozaki,129.5,32.33335
4830,yatsushiro,130.5,32.33335
4831,nobeoka,131.5,32.33335
4928,fukue,128.5,33
4929,nagasaki,129.5,33
4930,kumamoto,130.5,33
4931,oita,131.5,33
4932,uwajima,132.5,33
4933,kubokawa,133.5,33
4939,hachijojima,139.5,33
5029,karatsu,129.5,33.66665
5030,fukoka,130.5,33.66665
5031,nakatsu,131.5,33.66665
5032,matsuyama,132.5,33.66665
5033,kochi,133.5,33.66665
5034,tsurugisan,134.5,33.66665
5035,tanabe,135.5,33.66665
5036,kinomoto,136.5,33.66665
5039,mikurajima,139.5,33.66665
5129,izuhara,129.5,34.33335
5130,kogushi,130.5,34.33335
5131,yamaguchi,131.5,34.33335
5132,hiroshima,132.5,34.33335
5133,okayamaoyobimarugame,133.5,34.33335
5134,tokushima,134.5,34.33335
5135,wakayama,135.5,34.33335
5136,ise,136.5,34.33335
5137,iragomisaki,137.5,34.33335
5138,omaezaki,138.5,34.33335
5139,miyakejima,139.5,34.33335
5231,mishima,131.5,35
5232,hamada,132.5,35
5233,takahashi,133.5,35
5234,himeji,134.5,35
5235,kyotoyobiosaka,135.5,35
5236,nagoya,136.5,35
5237,toyohashi,137.5,35
5238,shizoka,138.5,35
5239,yokosuka,139.5,35
5240,otaki,140.5,35
5332,taisha,132.5,35.66665
5333,matsue,133.5,35.66665
5334,tottori,134.5,35.66665
5335,miyazu,135.5,35.66665
5336,gifu,136.5,35.66665
5337,iida,137.5,35.66665
5338,kofu,138.5,35.66665
5339,tokyo,139.5,35.66665
5340,chiba,140.5,35.66665
5433,saigo,133.5,36.33335
5436,kanazawa,136.5,36.33335
5437,takayama,137.5,36.33335
5438,nagano,138.5,36.33335
5439,utsunomiya,139.5,36.33335
5440,mito,140.5,36.33335
5536,nanao,136.5,37
5537,toyama,137.5,37
5538,takada,138.5,37
5539,nikko,139.5,37
5540,shirakawa,140.5,37
5636,wajima,136.5,37.66665
5638,nagaoka,138.5,37.66665
5639,niigata,139.5,37.66665
5640,fukushima,140.5,37.66665
5738,aikawa,138.5,38.33335
5739,murakami,139.5,38.33335
5740,sendai,140.5,38.33335
5741,ishinomaki,141.5,38.33335
5839,sakata,139.5,39
5840,shinjo,140.5,39
5841,ichinoseki,141.5,39
5939,oga,139.5,39.66665
5940,akita,140.5,39.66665
5941,morioka,141.5,39.66665
6039,fukaura,139.5,40.33335
6040,hirosaki,140.5,40.33335
6041,hachinohe,141.5,40.33335
6140,aomori,140.5,41
6141,noheji,141.5,41
6239,oshimaoshima,139.5,41.66665
6240,hakodate,140.5,41.66665
6241,shiriyazaki,141.5,41.66665
6339,kudo,139.5,42.33335
6340,muroran,140.5,42.33335
6341,tomakomai,141.5,42.33335
6342,urakawa,142.5,42.33335
6343,hiro,143.5,42.33335
6440,iwanai,140.5,43
6441,sapporo,141.5,43
6442,yobaridake,142.5,43
6443,obihiro,143.5,43
6444,kushiro,144.5,43
6445,nemuro,145.5,43
6541,rumoi,141.5,43.66665
6542,asahikawa,142.5,43.66665
6543,kitami,143.5,43.66665
6544,shari,144.5,43.66665
6545,shibetsu,145.5,43.66665
6546,shikotanto,146.5,43.66665
6641,haboro,141.5,44.33335
6642,nayoro,142.5,44.33335
6643,mombetsu,143.5,44.33335
6644,abashiri,144.5,44.33335
6645,shiretokomisaki,145.5,44.33335
6646,atoiyamisaki,146.5,44.33335
6647,urumombekko,147.5,44.33335
6741,teshio,141.5,45
6742,esashi,142.5,45
6747,shana,147.5,45
6748,bettobu,148.5,45
6841,wakkanai,141.5,45.66665
6848,shibetoro,148.5,45.66665
